91,1,9
243,188,31
261,14,71
306,109,116
323,23,83
346,97,145
349,42,51
361,5,13
381,300,294
382,254,377
389,55,14
420,210,65
493,252,399
543,407,428
548,26,149
561,116,250
569,397,41
584,19,231
601,89,132
629,462,85
670,93,112
701,224,27
717,4,253
730,147,41
731,606,732
741,131,33
742,23,126
752,34,26
783,421,129
820,765,821
829,25,830
835,206,9
861,27,539
881,645,9
898,763,797
905,63,249
930,6,153
944,71,397
947,327,85
955,24,68
993,90,26
998,26,357
1002,211,26
1019,85,33
1029,25,269
1034,404,150
1043,30,665
1044,25,46
1046,31,233
1078,60,680
1082,299,97
1135,42,533
1165,14,75
1179,259,135
1194,453,88
1201,116,188
1209,71,439
1215,122,78
1247,908,65
1249,32,650
1271,339,263
1286,324,35
1293,73,292
1296,224,14
1312,299,94
1323,684,403
1336,73,24
1341,1205,178
1354,333,725
1358,428,404
1385,32,59
1394,10,122
1398,333,667
1404,11,5
1410,1007,1222
1426,141,156
1428,64,902
1444,285,65
1446,1222,1377
1460,3,153
1484,88,239
1490,19,46
1506,67,11
1509,41,80
1511,134,79
1514,398,188
1519,144,1314
1520,90,85
1537,18,44
1553,171,16
1569,1139,1066
1570,35,79
1574,19,552
1591,97,213
1592,875,1384
1613,32,65
1625,111,11
1627,161,26
1629,64,8
1638,68,231
1657,109,259
1658,259,250
1705,68,48
1713,289,59
1715,735,721
1716,34,395
1736,1671,1737
1754,233,338
1758,25,552
1760,1220,925
1785,43,2
1787,197,81
1790,294,927
1795,956,1038
1798,288,605
1813,352,7
1816,52,18
1817,222,26
1827,32,344
1879,722,42
1880,42,894
1899,30,1559
1900,106,1115
1908,1073,14
1913,239,394
1927,1858,612
1932,4,29
1960,453,236
1983,55,255
1991,92,126
